Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of a nutrient adequate diet [CoNA],Cost of an energy sufficient diet [CoCA],Cost of animal-source foods [CoHD_asf],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],Cost of fruits [CoHD_f],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],"Cost of legumes, nuts and seeds [CoHD_lns]","Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats [CoHD_of],Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Cost of starchy staples [CoHD_ss],Cost of vegetables [CoHD_v],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 1.1,FPN 1.1,Barbados,BRB,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Barbados,BRB,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Barbados,BRB,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Barbados,BRB,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2017,YR2017,0.378,2.837,0.257,1.929,0.095,0.714,3.177,3.97,2.161,0.8,0.826,1.63,0.678,1.34,0.643,1.27,0.174,0.34,0.506,0.349,0.69,0.26,0.213,0.202,0.055,0.11,0.159,0,0.2,2.1,0,0,0.2,9458989
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2018,YR2018,..,2.882,..,..,..,..,3.228,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,..,..,0.1,9438785
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2019,YR2019,..,2.955,..,..,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,0.1,9419758
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2020,YR2020,..,2.955,..,..,..,..,3.31,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,0.1,9379952
Food Prices for Nutrition 1.1,FPN 1.1,Belarus,BLR,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2017,YR2017,0.347,2.555,0.291,2.148,0.032,0.235,2.862,10.88,2.406,0.263,0.745,3.36,0.79,3.56,0.369,1.66,0.06,0.27,0.222,0.677,3.05,0.26,0.276,0.129,0.021,0.237,0.078,0.1,0.3,0.3,0,0,0,11375158
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2018,YR2018,..,2.645,..,..,..,..,2.962,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,11427054
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2019,YR2019,..,2.628,..,..,..,..,2.943,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,11488980
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2020,YR2020,..,2.795,..,..,..,..,3.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,0,11538604
Food Prices for Nutrition 1.1,FPN 1.1,Belgium,BEL,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2017,YR2017,1.009,2.211,1.143,2.503,0.461,1.009,2.476,2.19,2.803,1.13,0.776,2.04,0.162,0.43,0.224,0.59,0.129,0.34,0.38,0.805,2.12,0.313,0.065,0.09,0.052,0.325,0.153,17.6,53.2,47.4,0.1,0.2,0.2,374693
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2018,YR2018,..,2.072,..,..,..,..,2.321,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.3,..,..,0.2,382066
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2019,YR2019,..,1.983,..,..,..,..,2.221,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44.4,..,..,0.2,389095
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2020,YR2020,..,1.911,..,..,..,..,2.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43,..,..,0.2,394921
Food Prices for Nutrition 1.1,FPN 1.1,Belize,BLZ,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2017,YR2017,1.721,3.17,1.211,2.23,0.316,0.582,3.55,5.44,2.498,0.652,1.168,2.85,0.538,1.31,0.297,0.72,0.125,0.3,0.41,1.012,2.47,0.329,0.152,0.084,0.035,0.285,0.115,13.5,81.7,90.5,1.6,9.5,10.5,11596779
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2018,YR2018,..,3.277,..,..,..,..,3.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.7,..,..,10.4,11940683
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2019,YR2019,..,3.271,..,..,..,..,3.664,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.4,..,..,9.8,12290444
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2020,YR2020,..,3.31,..,..,..,..,3.707,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.4,..,..,9.8,12643123
Food Prices for Nutrition 1.1,FPN 1.1,Benin,BEN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2017,YR2017,0.387,3.636,0.447,4.202,0.104,0.981,4.072,3.71,4.706,1.099,0.502,0.68,0.478,0.64,0.53,0.71,0.165,0.22,0.743,1.652,2.22,0.123,0.117,0.13,0.041,0.406,0.182,..,..,..,..,..,..,63873
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2018,YR2018,..,3.43,..,..,..,..,3.842,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63918
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2019,YR2019,..,3.382,..,..,..,..,3.788,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63911
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2020,YR2020,..,3.229,..,..,..,..,3.616,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63893
Food Prices for Nutrition 1.1,FPN 1.1,Bermuda,BMU,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2017,YR2017,0.753,3.913,0.481,2.502,0.18,0.935,4.383,4.19,2.802,1.047,1.191,2.21,1.122,2.08,0.427,0.79,0.164,0.3,0.54,0.94,1.74,0.272,0.256,0.097,0.037,0.214,0.123,0.7,26.2,51.2,0,0.2,0.4,756121
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2018,YR2018,..,4.096,..,..,..,..,4.587,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.1,..,..,0.3,762096
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2019,YR2019,..,4.207,..,..,..,..,4.712,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43,..,..,0.3,767459
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2020,YR2020,..,4.49,..,..,..,..,5.029,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.1,..,..,0.4,772506
Food Prices for Nutrition 1.1,FPN 1.1,Bhutan,BTN,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2017,YR2017,0.624,3.171,0.586,2.98,0.258,1.311,3.551,2.42,3.338,1.468,1.046,1.34,0.411,0.53,0.53,0.68,0.14,0.18,0.781,0.644,0.82,0.295,0.116,0.149,0.039,0.181,0.22,6.8,19.1,20.9,0.8,2.2,2.4,11435533
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2018,YR2018,..,3.257,..,..,..,..,3.648,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.1,..,..,2.2,11606905
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2019,YR2019,..,3.365,..,..,..,..,3.769,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16,..,..,1.9,11777315
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2020,YR2020,..,3.353,..,..,..,..,3.755,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.5,..,..,1.8,11936162
Food Prices for Nutrition 1.1,FPN 1.1,Bolivia,BOL,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2017,YR2017,..,..,1.002,2.972,0.225,0.666,..,..,3.329,0.746,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bonaire,BON,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2017,YR2017,0.487,3.435,0.386,2.724,0.087,0.617,3.847,5.57,3.051,0.691,0.921,1.71,0.916,1.7,0.512,0.95,0.132,0.24,0.54,0.825,1.53,0.239,0.238,0.133,0.034,0.214,0.14,0,2.4,4.6,0,0.1,0.2,3440027
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2018,YR2018,..,3.473,..,..,..,..,3.89,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,..,..,0.1,3400129
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2019,YR2019,..,3.478,..,..,..,..,3.895,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.6,..,..,0.1,3360711
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2020,YR2020,..,3.567,..,..,..,..,3.995,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.7,..,..,0.1,3318407
Food Prices for Nutrition 1.1,FPN 1.1,Bosnia and Herzegovina,BIH,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2017,YR2017,0.274,3.234,0.17,2.009,0.038,0.451,3.622,7.17,2.25,0.505,1.097,2.81,0.795,2.04,0.402,1.03,0.142,0.36,0.39,0.796,2.04,0.303,0.219,0.111,0.039,0.22,0.108,1.3,44.3,63.2,0,1.1,1.5,2401840
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2018,YR2018,..,3.192,..,..,..,..,3.575,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61,..,..,1.5,2451409
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2019,YR2019,..,3.206,..,..,..,..,3.591,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.1,..,..,1.5,2499702
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2020,YR2020,..,3.304,..,..,..,..,3.701,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.9,..,..,1.5,2546402
Food Prices for Nutrition 1.1,FPN 1.1,Botswana,BWA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Albania,ALB,2017,YR2017,0.425,3.529,0.266,2.206,0.078,0.647,3.952,5.45,2.471,0.725,1.204,2.01,0.911,1.52,0.441,0.74,0.089,0.15,0.599,0.707,1.18,0.305,0.231,0.112,0.023,0.179,0.152,0,8.9,31.3,0,0.3,0.9,2873457
Food Prices for Nutrition 2.0,FPN 2.0,Albania,ALB,2018,YR2018,..,3.633,..,..,..,..,4.069,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23,..,..,0.7,2866376
Food Prices for Nutrition 2.0,FPN 2.0,Albania,ALB,2019,YR2019,..,3.805,..,..,..,..,4.262,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.2,..,..,0.6,2854191
Food Prices for Nutrition 2.0,FPN 2.0,Albania,ALB,2020,YR2020,..,3.821,..,..,..,..,4.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.9,..,..,0.6,2837849
Food Prices for Nutrition 2.0,FPN 2.0,Albania,ALB,2021,YR2021,..,3.918,..,..,..,..,4.388,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.9,..,..,0.4,2811666
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,DZA,2017,YR2017,0.605,3.36,0.374,2.074,0.124,0.69,3.763,4.87,2.323,0.773,0.964,1.94,0.979,1.97,0.493,0.99,0.132,0.27,0.496,0.699,1.41,0.256,0.26,0.131,0.035,0.186,0.132,0.1,6.2,32.5,0.1,2.6,13.4,41136546
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,DZA,2018,YR2018,..,3.413,..,..,..,..,3.822,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.2,..,..,13.1,41927007
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,DZA,2019,YR2019,..,3.389,..,..,..,..,3.796,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.2,..,..,12.5,42705368
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,DZA,2020,YR2020,..,3.357,..,..,..,..,3.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.1,..,..,13.5,43451666
Food Prices for Nutrition 2.0,FPN 2.0,Algeria,DZA,2021,YR2021,..,3.61,..,..,..,..,4.043,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.4,..,..,14.3,44177969
Food Prices for Nutrition 2.0,FPN 2.0,Angola,AGO,2017,YR2017,0.972,3.863,0.726,2.885,0.315,1.253,4.327,3.08,3.231,1.403,1.011,1.21,0.717,0.85,0.395,0.47,0.166,0.2,0.839,1.199,1.43,0.234,0.166,0.091,0.038,0.277,0.194,36,71.1,81.4,10.9,21.5,24.6,30208628
Food Prices for Nutrition 2.0,FPN 2.0,Angola,AGO,2018,YR2018,..,3.833,..,..,..,..,4.293,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.7,..,..,25.8,31273533
Food Prices for Nutrition 2.0,FPN 2.0,Angola,AGO,2019,YR2019,..,3.886,..,..,..,..,4.352,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.9,..,..,27.1,32353588
Food Prices for Nutrition 2.0,FPN 2.0,Angola,AGO,2020,YR2020,..,4.094,..,..,..,..,4.585,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.7,..,..,29,33428486
Food Prices for Nutrition 2.0,FPN 2.0,Angola,AGO,2021,YR2021,..,4.492,..,..,..,..,5.031,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.1,..,..,30.4,34503774
Food Prices for Nutrition 2.0,FPN 2.0,Anguilla,AIA,2017,YR2017,0.577,3.319,0.378,2.172,0.203,1.168,3.717,2.84,2.433,1.308,0.647,0.83,0.811,1.04,0.328,0.42,0.134,0.17,0.778,1.019,1.31,0.174,0.218,0.088,0.036,0.274,0.209,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Anguilla,AIA,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Anguilla,AIA,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Anguilla,AIA,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Anguilla,AIA,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Antigua and Barbuda,ATG,2017,YR2017,0.767,3.671,0.563,2.694,0.174,0.833,4.112,4.41,3.017,0.933,0.682,1.13,1.003,1.66,0.429,0.71,0.115,0.19,0.604,1.279,2.12,0.166,0.244,0.104,0.028,0.311,0.147,..,..,..,..,..,..,91119
Food Prices for Nutrition 2.0,FPN 2.0,Antigua and Barbuda,ATG,2018,YR2018,..,3.841,..,..,..,..,4.302,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91626
Food Prices for Nutrition 2.0,FPN 2.0,Antigua and Barbuda,ATG,2019,YR2019,..,3.921,..,..,..,..,4.391,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92117
Food Prices for Nutrition 2.0,FPN 2.0,Antigua and Barbuda,ATG,2020,YR2020,..,4.021,..,..,..,..,4.504,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,92664
Food Prices for Nutrition 2.0,FPN 2.0,Antigua and Barbuda,ATG,2021,YR2021,..,4.182,..,..,..,..,4.684,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,93219
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,ARG,2017,YR2017,0.395,2.983,0.31,2.344,0.077,0.582,3.341,5.12,2.625,0.652,0.669,1.44,0.733,1.58,0.656,1.42,0.117,0.25,0.463,0.703,1.52,0.2,0.219,0.196,0.035,0.21,0.139,0.2,4,6.8,0.1,1.8,3,44044811
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,ARG,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44494502
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,ARG,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,44938712
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,ARG,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45376763
Food Prices for Nutrition 2.0,FPN 2.0,Argentina,ARG,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45808747
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,ARM,2017,YR2017,0.27,2.764,0.192,1.971,0.088,0.904,3.096,3.06,2.208,1.013,0.973,1.81,0.488,0.91,0.541,1.01,0.123,0.23,0.537,0.433,0.81,0.314,0.158,0.175,0.04,0.14,0.173,0.5,14.3,37.1,0,0.4,1.1,2851923
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,ARM,2018,YR2018,..,2.827,..,..,..,..,3.166,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.9,..,..,1.1,2836557
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,ARM,2019,YR2019,..,2.89,..,..,..,..,3.237,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40,..,..,1.1,2820602
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,ARM,2020,YR2020,..,2.899,..,..,..,..,3.247,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39,..,..,1.1,2805608
Food Prices for Nutrition 2.0,FPN 2.0,Armenia,ARM,2021,YR2021,..,3.149,..,..,..,..,3.527,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.4,..,..,1.2,2790974
Food Prices for Nutrition 2.0,FPN 2.0,Aruba,ABW,2017,YR2017,0.723,3.052,0.6,2.531,0.239,1.009,3.418,3.02,2.835,1.13,0.718,0.9,0.475,0.6,0.407,0.51,0.115,0.14,0.797,0.907,1.14,0.21,0.139,0.119,0.034,0.265,0.233,..,..,..,..,..,..,105439
Food Prices for Nutrition 2.0,FPN 2.0,Aruba,ABW,2018,YR2018,..,3.232,..,..,..,..,3.62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,105962
Food Prices for Nutrition 2.0,FPN 2.0,Aruba,ABW,2019,YR2019,..,3.488,..,..,..,..,3.907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106442
Food Prices for Nutrition 2.0,FPN 2.0,Aruba,ABW,2020,YR2020,..,3.578,..,..,..,..,4.007,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106585
Food Prices for Nutrition 2.0,FPN 2.0,Aruba,ABW,2021,YR2021,..,3.675,..,..,..,..,4.116,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106537
Food Prices for Nutrition 2.0,FPN 2.0,Australia,AUS,2017,YR2017,0.333,2.017,0.235,1.424,0.045,0.274,2.259,7.36,1.595,0.307,0.458,2.07,0.667,3.02,0.249,1.13,0.067,0.3,0.221,0.597,2.7,0.203,0.295,0.11,0.03,0.264,0.098,0.2,0.5,0.7,0.1,0.1,0.2,24594202
Food Prices for Nutrition 2.0,FPN 2.0,Australia,AUS,2018,YR2018,..,2.038,..,..,..,..,2.283,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.2,24966643
Food Prices for Nutrition 2.0,FPN 2.0,Australia,AUS,2019,YR2019,..,2.05,..,..,..,..,2.296,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.2,25340217
Food Prices for Nutrition 2.0,FPN 2.0,Australia,AUS,2020,YR2020,..,2.133,..,..,..,..,2.389,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.2,25655289
Food Prices for Nutrition 2.0,FPN 2.0,Australia,AUS,2021,YR2021,..,2.176,..,..,..,..,2.437,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.7,..,..,0.2,25688079
Food Prices for Nutrition 2.0,FPN 2.0,Austria,AUT,2017,YR2017,0.39,2.475,0.318,2.014,0.049,0.309,2.772,8.01,2.256,0.346,0.612,2.67,0.819,3.58,0.36,1.57,0.055,0.24,0.229,0.698,3.05,0.221,0.295,0.13,0.02,0.252,0.083,0.2,0.5,0.6,0,0,0.1,8797566
Food Prices for Nutrition 2.0,FPN 2.0,Austria,AUT,2018,YR2018,..,2.543,..,..,..,..,2.848,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0.1,8840521
Food Prices for Nutrition 2.0,FPN 2.0,Austria,AUT,2019,YR2019,..,2.603,..,..,..,..,2.915,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.8,..,..,0.1,8879920
